Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite_01_LoginFunction,Chrome 67.0.3396.99,,2018-07-12 11:17:04,2018-07-12 11:17:51,46.671s,FAILED
,,,,,,
Test Cases/TC01_LoginWithValidUsernamePassword,Chrome 67.0.3396.99,,2018-07-12 11:17:05,2018-07-12 11:17:19,14.356s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:05,2018-07-12 11:17:10,5.066s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 11:17:10,2018-07-12 11:17:12,1.874s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:12,2018-07-12 11:17:13,0.475s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:13,2018-07-12 11:17:13,0.369s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:13,2018-07-12 11:17:17,4.011s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:17,2018-07-12 11:17:17,0.306s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 11:17:17,2018-07-12 11:17:17,0.070s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:17,2018-07-12 11:17:19,1.492s,PASSED
,,,,,,
Test Cases/TC02_LoginWithInvalidUsernamePassword,Chrome 67.0.3396.99,,2018-07-12 11:17:19,2018-07-12 11:17:26,7.393s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:19,2018-07-12 11:17:21,2.323s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 11:17:21,2018-07-12 11:17:23,1.474s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:23,2018-07-12 11:17:24,0.574s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:24,2018-07-12 11:17:24,0.342s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:24,2018-07-12 11:17:25,1.003s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 11:17:25,2018-07-12 11:17:25,0.175s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:25,2018-07-12 11:17:26,1.205s,PASSED
,,,,,,
Test Cases/TC03_LoginWithInvalidUsernameOnly,Chrome 67.0.3396.99,,2018-07-12 11:17:26,2018-07-12 11:17:33,6.628s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:26,2018-07-12 11:17:29,2.476s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 11:17:29,2018-07-12 11:17:30,1.167s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:30,2018-07-12 11:17:31,0.588s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:31,2018-07-12 11:17:31,0.334s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:31,2018-07-12 11:17:32,0.938s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 11:17:32,2018-07-12 11:17:32,0.100s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:32,2018-07-12 11:17:33,0.824s,PASSED
,,,,,,
Test Cases/TC04_LoginWithInvalidPasswordOnly,Chrome 67.0.3396.99,,2018-07-12 11:17:33,2018-07-12 11:17:40,7.416s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:33,2018-07-12 11:17:36,2.368s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 11:17:36,2018-07-12 11:17:37,1.836s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:37,2018-07-12 11:17:38,0.469s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:38,2018-07-12 11:17:38,0.284s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:38,2018-07-12 11:17:39,1.266s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 11:17:39,2018-07-12 11:17:39,0.098s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:39,2018-07-12 11:17:40,0.839s,PASSED
,,,,,,
Test Cases/TC05_LoginWithValidUsernamePasswordButFail,Chrome 67.0.3396.99,,2018-07-12 11:17:40,2018-07-12 11:17:51,10.328s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:41,2018-07-12 11:17:43,2.291s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 11:17:43,2018-07-12 11:17:44,1.174s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:44,2018-07-12 11:17:45,0.589s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:45,2018-07-12 11:17:45,0.253s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:45,2018-07-12 11:17:49,3.764s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:49,2018-07-12 11:17:49,0.519s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 11:17:49,2018-07-12 11:17:50,0.478s,FAILED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:50,2018-07-12 11:17:51,0.967s,PASSED
