Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite_02_PagesAccessibility,Chrome 67.0.3396.99,,2018-07-12 15:45:23,2018-07-12 15:48:01,2m - 37.847s,FAILED
,,,,,,
Test Cases/TC06_VerifyAssetPage,Chrome 67.0.3396.99,,2018-07-12 15:45:23,2018-07-12 15:45:34,10.378s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:45:23,2018-07-12 15:45:27,3.174s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:45:27,2018-07-12 15:45:28,1.401s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:45:28,2018-07-12 15:45:28,0.305s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:45:28,2018-07-12 15:45:28,0.145s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:45:28,2018-07-12 15:45:31,3.005s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:45:31,2018-07-12 15:45:32,0.307s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:45:32,2018-07-12 15:45:32,0.114s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:45:32,2018-07-12 15:45:33,0.753s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:45:33,2018-07-12 15:45:33,0.102s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:45:33,2018-07-12 15:45:34,0.770s,PASSED
,,,,,,
Test Cases/TC07_VerifyApprovalPage,Chrome 67.0.3396.99,,2018-07-12 15:45:34,2018-07-12 15:45:42,8.884s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:45:34,2018-07-12 15:45:36,2.048s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:45:36,2018-07-12 15:45:37,0.850s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:45:37,2018-07-12 15:45:37,0.286s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:45:37,2018-07-12 15:45:37,0.143s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:45:37,2018-07-12 15:45:40,3.248s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:45:40,2018-07-12 15:45:41,0.276s,PASSED
